task,vlm,model,nll,AIC,BIC,n_params,n_trials,delta_AIC,delta_BIC
Gabor,kimi-vl-a3b,LogN,813.0283026773392,1660.0566053546784,1741.6215923752522,17,896,38.0429549494545,42.84089536242959
Gabor,kimi-vl-a3b,BCH,1603.6988387544536,3239.3976775089072,3316.164724116506,16,896,1617.3840271036834,1617.3840271036834
Gabor,ovis2_34b,BCH,1273.106921530805,2578.21384306161,2654.980889669209,16,896,0.0,0.0
Gabor,ovis2_34b,SDT,1291.3525752773126,2614.705150554625,2691.472197162224,16,896,36.49130749301503,36.49130749301503
Gabor,ovis2_34b,PE,1615.1669162650082,3262.3338325300165,3339.1008791376153,16,896,684.1199894684064,684.1199894684064
Gabor,ovis2_34b,LogN,1646.2553966439077,3326.5107932878154,3408.0757803083893,17,896,748.2969502262054,753.0948906391804
Gabor,ovis2_34b,WEV,1653.0039427630195,3342.007885526039,3428.370812959588,18,896,763.7940424644289,773.3899232903791
Gabor,qwen2.5-vl-32b,BCH,979.0782886005882,1990.1565772011763,2066.923623808775,16,896,0.0,0.0
Gabor,qwen2.5-vl-32b,SDT,985.7767125935042,2003.5534251870083,2080.3204717946073,16,896,13.396847985831982,13.39684798583221
Gabor,qwen2.5-vl-32b,PE,1451.8239949795548,2935.6479899591095,3012.4150365667083,16,896,945.4914127579332,945.4914127579332
Gabor,qwen2.5-vl-32b,WEV,1481.5413749795239,2999.0827499590478,3085.4456773925967,18,896,1008.9261727578714,1018.5220535838216
Gabor,qwen2.5-vl-32b,LogN,3510.9181347216536,7055.836269443307,7137.401256463881,17,896,5065.679692242131,5070.4776326551055
Gabor,qwen2.5-vl-72b,SDT,823.3108900273184,1678.6217800546367,1755.3888266622355,16,896,0.0,0.0
Gabor,qwen2.5-vl-72b,PE,1016.2280499859658,2064.4560999719315,2141.2231465795303,16,896,385.8343199172948,385.8343199172948
Gabor,qwen2.5-vl-72b,BCH,1090.0466525187016,2212.0933050374033,2288.860351645002,16,896,533.4715249827666,533.4715249827666
Gabor,qwen2.5-vl-72b,LogN,1106.4244538158223,2246.8489076316446,2328.4138946522185,17,896,568.2271275770079,573.025067989983
Gabor,qwen2.5-vl-72b,WEV,1577.4140246931802,3190.8280493863604,3277.1909768199093,18,896,1512.2062693317237,1521.8021501576739
Gabor,qwen2.5-vl-7b,SDT,627.4123139263687,1286.8246278527374,1363.5916744603362,16,896,0.0,0.0
Gabor,qwen2.5-vl-7b,BCH,643.3925775310915,1318.785155062183,1395.5522016697819,16,896,31.960527209445672,31.960527209445672
Gabor,qwen2.5-vl-7b,PE,877.3855506057139,1786.7711012114278,1863.5381478190266,16,896,499.94647335869035,499.94647335869035
Gabor,qwen2.5-vl-7b,LogN,891.4278842710395,1816.855768542079,1898.4207555626529,17,896,530.0311406893416,534.8290811023166
Gabor,qwen2.5-vl-7b,WEV,891.3386148334839,1818.6772296669678,1905.0401571005166,18,896,531.8526018142304,541.4484826401804
Grid,claude-sonnet-4-5,SDT,1384.483166655331,2800.966333310662,2877.7333799182607,16,896,0.0,0.0
Grid,claude-sonnet-4-5,BCH,1618.5018632301037,3269.0037264602074,3345.770773067806,16,896,468.03739314954555,468.03739314954555
Grid,claude-sonnet-4-5,PE,1663.7085758013998,3359.4171516027995,3436.1841982103983,16,896,558.4508182921377,558.4508182921377
Grid,claude-sonnet-4-5,WEV,2448.2516980022347,4932.503396004469,5018.866323438018,18,896,2131.5370626938075,2141.1329435197576
Grid,claude-sonnet-4-5,LogN,3241.593020283367,6517.186040566734,6598.751027587307,17,896,3716.219707256072,3721.0176476690467
Grid,gemma3_27b,SDT,621.059873781711,1274.119747563422,1350.8867941710207,16,896,0.0,0.0
Grid,gemma3_27b,BCH,621.0598738208506,1274.1197476417012,1350.8867942493,16,896,7.827929948689416e-08,7.827929948689416e-08
Grid,gemma3_27b,LogN,728.83409637252,1491.66819274504,1573.2331797656138,17,896,217.54844518161804,222.34638559459313
Grid,gemma3_27b,WEV,751.0204637356183,1538.0409274712365,1624.4038549047852,18,896,263.9211799078146,273.51706073376454
Grid,gemma3_27b,PE,782.5614587385191,1597.1229174770383,1673.889964084637,16,896,323.0031699136164,323.0031699136164
Grid,gpt-4o,SDT,862.406567989876,1756.813135979752,1833.5801825873507,16,896,0.0,0.0
Grid,gpt-4o,BCH,1017.6205762439636,2067.241152487927,2144.008199095526,16,896,310.42801650817523,310.42801650817523
Grid,gpt-4o,WEV,1155.0145364401208,2346.0290728802415,2432.39200031379,18,896,589.2159369004896,598.8118177264394
Grid,gpt-4o,PE,1236.1800638718084,2504.360127743617,2581.1271743512157,16,896,747.546991763865,747.546991763865
Grid,gpt-4o,LogN,1799.4826025404434,3632.965205080887,3714.5301921014607,17,896,1876.1520691011349,1880.95000951411
Grid,gpt-5,SDT,1677.1820520952056,3386.364104190411,3463.13115079801,16,896,0.0,0.0
Grid,gpt-5,LogN,1677.3160886337043,3388.6321772674087,3470.1971642879826,17,896,2.2680730769975526,7.066013489972647
Grid,gpt-5,PE,1685.204484223737,3402.408968447474,3479.1760150550726,16,896,16.044864257062727,16.044864257062727
Grid,gpt-5,BCH,3461.015489793202,6954.030979586404,7030.798026194003,16,896,3567.666875395993,3567.666875395993
Grid,gpt-5,WEV,4816.899076776754,9669.798153553507,9756.161080987056,18,896,6283.434049363096,6293.029930189046
Grid,kimi-vl-a3b,BCH,1232.952080205726,2497.904160411452,2574.6712070190506,16,896,0.0,0.0
Grid,kimi-vl-a3b,SDT,1235.600291640943,2503.200583281886,2579.9676298894847,16,896,5.296422870434071,5.296422870434071
Grid,kimi-vl-a3b,WEV,1392.1982289263512,2820.3964578527025,2906.759385286251,18,896,322.4922974412507,332.0881782672004
Grid,kimi-vl-a3b,LogN,1402.5348087758305,2839.069617551661,2920.634604572235,17,896,341.1654571402091,345.9633975531842
Grid,kimi-vl-a3b,PE,1482.7837460671412,2997.5674921342825,3074.3345387418813,16,896,499.66333172283066,499.66333172283066
Grid,ovis2_34b,SDT,767.9888808226256,1567.9777616452511,1644.74480825285,16,896,0.0,0.0
Grid,ovis2_34b,BCH,773.7089938922977,1579.4179877845954,1656.1850343921942,16,896,11.440226139344304,11.440226139344304
Grid,ovis2_34b,WEV,867.6306788277366,1771.2613576554731,1857.624285089022,18,896,203.28359601022203,212.879476836172
Grid,ovis2_34b,LogN,874.7996028647191,1783.5992057294382,1865.164192750012,17,896,215.62144408418703,220.41938449716213
Grid,ovis2_34b,PE,897.7133901404364,1827.426780280873,1904.1938268884717,16,896,259.44901863562177,259.44901863562177
Grid,qwen2.5-vl-32b,SDT,621.059873781711,1274.119747563422,1350.8867941710207,16,896,0.0,0.0
Grid,qwen2.5-vl-32b,BCH,621.059873781711,1274.119747563422,1350.8867941710207,16,896,0.0,0.0
Grid,qwen2.5-vl-32b,PE,712.1992310022052,1456.3984620044105,1533.1655086120093,16,896,182.27871444098855,182.27871444098855
Grid,qwen2.5-vl-32b,LogN,712.9240186149938,1459.8480372299875,1541.4130242505614,17,896,185.72828966656562,190.5262300795407
Grid,qwen2.5-vl-32b,WEV,712.2059455989851,1460.4118911979701,1546.7748186315189,18,896,186.2921436345482,195.88802446049817
Grid,qwen2.5-vl-72b,SDT,621.0598737817111,1274.1197475634222,1350.886794171021,16,896,0.0,0.0
Grid,qwen2.5-vl-72b,BCH,641.1348629353045,1314.269725870609,1391.0367724782077,16,896,40.14997830718676,40.14997830718676
Grid,qwen2.5-vl-72b,PE,712.8554849393249,1457.7109698786498,1534.4780164862486,16,896,183.5912223152277,183.5912223152277
Grid,qwen2.5-vl-72b,LogN,712.9854534641684,1459.9709069283367,1541.5358939489106,17,896,185.85115936491457,190.64909977788966
Grid,qwen2.5-vl-72b,WEV,712.8549294363985,1461.709858872797,1548.0727863063457,18,896,187.59011130937483,197.1859921353248
Grid,qwen2.5-vl-7b,SDT,885.1017210484175,1802.203442096835,1878.9704887044338,16,896,0.0,0.0
Grid,qwen2.5-vl-7b,BCH,886.4406903994637,1804.8813807989275,1881.6484274065263,16,896,2.6779387020924332,2.6779387020924332
Grid,qwen2.5-vl-7b,WEV,973.3940234630597,1982.7880469261195,2069.150974359668,18,896,180.58460482928444,190.18048565523418
Grid,qwen2.5-vl-7b,PE,976.7634519787991,1985.5269039575983,2062.293950565197,16,896,183.32346186076325,183.32346186076325
Grid,qwen2.5-vl-7b,LogN,3049.5112665705024,6133.022533141005,6214.587520161578,17,896,4330.81909104417,4335.617031457145
